t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1574464846,2273,26,4.280000,2,4.578209,3.000000,4.000000,19.700000,26.000000,26.000000,26.000000
1574464847,2297,4,2.958333,1,0.954585,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1574464848,2322,4,2.400000,1,0.707107,2.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464849,2347,25,3.040000,1,4.605070,2.000000,2.500000,18.400000,25.000000,25.000000,25.000000
1574464850,2372,26,3.160000,1,4.793051,2.000000,3.000000,19.100000,26.000000,26.000000,26.000000
1574464851,2396,4,2.166667,1,0.816497,2.000000,3.000000,3.750000,4.000000,4.000000,4.000000
1574464852,2421,3,2.000000,1,0.500000,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464853,2446,19,3.440000,1,3.342654,3.000000,3.500000,14.500000,19.000000,19.000000,19.000000
1574464854,2470,28,4.250000,2,5.084076,3.000000,4.000000,22.000000,28.000000,28.000000,28.000000
1574464855,2495,7,3.320000,2,0.988264,3.000000,4.000000,6.100000,7.000000,7.000000,7.000000
1574464856,2520,4,2.920000,2,0.759386,3.000000,3.500000,4.000000,4.000000,4.000000,4.000000
1574464857,2545,29,4.280000,2,5.184271,3.000000,4.000000,21.500000,29.000000,29.000000,29.000000
1574464858,2569,28,3.791667,2,5.200160,3.000000,3.000000,22.000000,28.000000,28.000000,28.000000
1574464859,2594,3,2.000000,1,0.408248,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464860,2619,12,2.600000,1,2.020726,2.000000,3.000000,9.300000,12.000000,12.000000,12.000000
1574464861,2644,10,2.880000,2,1.563117,3.000000,3.000000,7.900000,10.000000,10.000000,10.000000
1574464862,2668,19,3.458333,2,3.348967,3.000000,3.000000,15.250000,19.000000,19.000000,19.000000
1574464863,2693,4,2.840000,1,0.553775,3.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574464864,2718,24,3.160000,1,4.412860,2.000000,3.000000,18.000000,24.000000,24.000000,24.000000
1574464865,2743,14,3.160000,2,2.374868,3.000000,3.000000,11.000000,14.000000,14.000000,14.000000
1574464866,2767,13,5.541667,3,1.744037,5.000000,6.000000,11.250000,13.000000,13.000000,13.000000
1574464867,2792,5,3.400000,2,0.957427,3.000000,4.000000,5.000000,5.000000,5.000000,5.000000
1574464868,2817,30,3.800000,1,5.492419,3.000000,3.000000,22.200000,30.000000,30.000000,30.000000
1574464869,2842,16,4.840000,3,2.511308,5.000000,5.000000,13.000000,16.000000,16.000000,16.000000
1574464870,2866,7,5.541667,4,0.721060,5.500000,6.000000,7.000000,7.000000,7.000000,7.000000
1574464871,2891,28,5.760000,3,4.772141,5.000000,6.000000,21.700000,28.000000,28.000000,28.000000
1574464872,2916,14,5.040000,3,2.071232,5.000000,5.000000,11.600000,14.000000,14.000000,14.000000
1574464873,2941,4,2.760000,1,0.969536,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1574464874,2965,4,2.916667,2,0.653863,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464875,2990,18,3.160000,2,3.144837,3.000000,3.000000,13.800000,18.000000,18.000000,18.000000
1574464876,3015,9,3.080000,2,1.469694,3.000000,3.000000,7.800000,9.000000,9.000000,9.000000
1574464877,3040,4,2.200000,1,0.912871,2.000000,3.000000,4.000000,4.000000,4.000000,4.000000
